Datetime;Object;Value
2021-11-02 00:00:00;50889;-868,761
2021-11-03 00:00:00;50889;359,914
2021-11-04 00:00:00;50889;-1370,619
2021-11-05 00:00:00;50889;-427,246
2021-11-06 00:00:00;50889;-523,228
2021-11-07 00:00:00;50889;-65,063
2021-11-08 00:00:00;50889;215,892
2021-11-09 00:00:00;50889;-222,979
2021-11-10 00:00:00;50889;2252,666
2021-11-11 00:00:00;50889;-522,771
2021-11-12 00:00:00;50889;-398,176
2021-11-13 00:00:00;50889;835,279
2021-11-14 00:00:00;50889;-1490,24
2021-11-15 00:00:00;50889;-339,665
2021-11-16 00:00:00;50889;-1757,083
2021-11-17 00:00:00;50889;600,369
2021-11-18 00:00:00;50889;-84,535
2021-11-19 00:00:00;50889;-523,705
2021-11-20 00:00:00;50889;-352,701
2021-11-21 00:00:00;50889;-738,826
2021-11-22 00:00:00;50889;-930,47
2021-11-23 00:00:00;50889;-2170,206
2021-11-24 00:00:00;50889;-1077,946
2021-11-25 00:00:00;50889;-623,934
2021-11-26 00:00:00;50889;-933,765
2021-11-27 00:00:00;50889;-341,283
2021-11-28 00:00:00;50889;-649,022
2021-11-29 00:00:00;50889;-2118,083
2021-11-30 00:00:00;50889;1827,142
2021-12-01 00:00:00;50889;-674,216
2021-12-02 00:00:00;50889;-483,094
2021-12-03 00:00:00;50889;-1553,985
2021-12-04 00:00:00;50889;-1063,186
2021-12-05 00:00:00;50889;-810,919
2021-12-06 00:00:00;50889;-572,402
2021-12-07 00:00:00;50889;-3769,689
2021-12-08 00:00:00;50889;-2223,111
2021-12-09 00:00:00;50889;-995,749
2021-12-10 00:00:00;50889;-803,304
2021-12-11 00:00:00;50889;-1087,657
2021-12-12 00:00:00;50889;-239,124
2021-12-13 00:00:00;50889;-204,426
2021-12-14 00:00:00;50889;-447,877
2021-12-15 00:00:00;50889;-453,355
2021-12-16 00:00:00;50889;-1812,68
2021-12-17 00:00:00;50889;598,364
2021-12-18 00:00:00;50889;-171,269
2021-12-19 00:00:00;50889;-501,134
2021-12-20 00:00:00;50889;-660,653
2021-12-21 00:00:00;50889;-3064,438
2021-12-22 00:00:00;50889;-460,306
2021-12-23 00:00:00;50889;-1737,404
2021-12-24 00:00:00;50889;-1449,682
2021-12-25 00:00:00;50889;-1290,42
2021-12-26 00:00:00;50889;-1532,793
2021-12-27 00:00:00;50889;-784,219
2021-12-28 00:00:00;50889;-1969,25
2021-12-29 00:00:00;50889;-595,5
2021-12-30 00:00:00;50889;-1355,789
2021-12-31 00:00:00;50889;-2326,742
2022-01-01 00:00:00;50889;101,087
2022-01-02 00:00:00;50889;225,224
2022-01-03 00:00:00;50889;-2560,785
2022-01-04 00:00:00;50889;-724,714
2022-01-05 00:00:00;50889;-1659,662
2022-01-06 00:00:00;50889;-941,937
2022-01-07 00:00:00;50889;1476,313
2022-01-08 00:00:00;50889;-1082,003
2022-01-09 00:00:00;50889;-3188,833
2022-01-10 00:00:00;50889;-579,849
2022-01-11 00:00:00;50889;2478,196
2022-01-12 00:00:00;50889;-631,218
2022-01-13 00:00:00;50889;-1354,896
2022-01-14 00:00:00;50889;-246,682
2022-01-15 00:00:00;50889;1045,738
2022-01-16 00:00:00;50889;659,18
2022-01-17 00:00:00;50889;223,189
2022-01-18 00:00:00;50889;3264,007
2022-01-19 00:00:00;50889;821,267
2022-01-20 00:00:00;50889;-1497,314
2022-01-21 00:00:00;50889;-212,912
2022-01-22 00:00:00;50889;-1093,491
2022-01-23 00:00:00;50889;-767,302
2022-01-24 00:00:00;50889;-931,21
2022-01-25 00:00:00;50889;-245,04
2022-01-26 00:00:00;50889;-1499,154
2022-01-27 00:00:00;50889;-207,728
2022-01-28 00:00:00;50889;-984,212
2022-01-29 00:00:00;50889;-1927,161
2022-01-30 00:00:00;50889;-918,535
2022-01-31 00:00:00;50889;-1012,073
2022-02-01 00:00:00;50889;418,893
2022-02-02 00:00:00;50889;269,115
2022-02-03 00:00:00;50889;-157,583
2022-02-04 00:00:00;50889;-209,555
2022-02-05 00:00:00;50889;-716,132
2022-02-06 00:00:00;50889;-2035,985
2022-02-07 00:00:00;50889;-256,735
2022-02-08 00:00:00;50889;-895,275
2022-02-09 00:00:00;50889;-142,007
2022-02-10 00:00:00;50889;1760,079
2022-02-11 00:00:00;50889;593,54
2022-02-12 00:00:00;50889;448,255
2022-02-13 00:00:00;50889;125,141
2022-02-14 00:00:00;50889;-1536,12
2022-02-15 00:00:00;50889;1583,627
2022-02-16 00:00:00;50889;176,111
2022-02-17 00:00:00;50889;-1101,576
2022-02-18 00:00:00;50889;-2284,664
2022-02-19 00:00:00;50889;-385,023
2022-02-20 00:00:00;50889;123,504
2022-02-21 00:00:00;50889;18,345
2022-02-22 00:00:00;50889;36,257
2022-02-23 00:00:00;50889;-160,939
2022-02-24 00:00:00;50889;511,094
2022-02-25 00:00:00;50889;-824,168
2022-02-26 00:00:00;50889;-110,622
2022-02-27 00:00:00;50889;335,767
2022-02-28 00:00:00;50889;-797,629
2022-03-01 00:00:00;50889;-833,221
2022-03-02 00:00:00;50889;455,343
2022-03-03 00:00:00;50889;290,995
2022-03-04 00:00:00;50889;-763,482
2022-03-05 00:00:00;50889;821,005
2022-03-06 00:00:00;50889;252,001
2022-03-07 00:00:00;50889;-805,592
2022-03-08 00:00:00;50889;-663,706
2022-03-09 00:00:00;50889;-257,951
2022-03-10 00:00:00;50889;276,881
2022-03-11 00:00:00;50889;-135,831
2022-03-12 00:00:00;50889;-1323,629
2022-03-13 00:00:00;50889;-593,452
2022-03-14 00:00:00;50889;-757,077
2022-03-15 00:00:00;50889;-375,805
2022-03-16 00:00:00;50889;-386,552
2022-03-17 00:00:00;50889;-245,637
2022-03-18 00:00:00;50889;-1192,43
2022-03-19 00:00:00;50889;225,205
2022-03-20 00:00:00;50889;-576,264
2022-03-21 00:00:00;50889;341,896
2022-03-22 00:00:00;50889;-588
2022-03-23 00:00:00;50889;-754,537
2022-03-24 00:00:00;50889;-90,819
2022-03-25 00:00:00;50889;-144,854
2022-03-26 00:00:00;50889;-533,538
2022-03-27 00:00:00;50889;-95,933
2022-03-28 00:00:00;50889;-799,724
2022-03-29 00:00:00;50889;-169,513
2022-03-30 00:00:00;50889;1122,573
2022-03-31 00:00:00;50889;-1187,568
2022-04-01 00:00:00;50889;1165,332
2022-04-02 00:00:00;50889;-237,945
2022-04-03 00:00:00;50889;-395,23
2022-04-04 00:00:00;50889;-1007,815
2022-04-05 00:00:00;50889;162,302
2022-04-06 00:00:00;50889;-291,503
2022-04-07 00:00:00;50889;-479,326
2022-04-08 00:00:00;50889;-324,619
2022-04-09 00:00:00;50889;410,163
2022-04-10 00:00:00;50889;-4768,392
2022-04-11 00:00:00;50889;-546,916
2022-04-12 00:00:00;50889;809,284
2022-04-13 00:00:00;50889;-841,991
2022-04-14 00:00:00;50889;598,993
2022-04-15 00:00:00;50889;246,936
2022-04-16 00:00:00;50889;353,716
2022-04-17 00:00:00;50889;-1070,461
2022-04-18 00:00:00;50889;-1063,373
2022-04-19 00:00:00;50889;925,429
2022-04-20 00:00:00;50889;762,658
2022-04-21 00:00:00;50889;-1359,756
2022-04-22 00:00:00;50889;437,457
2022-04-23 00:00:00;50889;27,918
2022-04-24 00:00:00;50889;551,825
2022-04-25 00:00:00;50889;-648,688
2022-04-26 00:00:00;50889;582,448
2022-04-27 00:00:00;50889;-581,638
2022-04-28 00:00:00;50889;2908,386
2022-04-29 00:00:00;50889;1041,214
2022-04-30 00:00:00;50889;-109,139
2022-05-01 00:00:00;50889;389,386
2022-05-02 00:00:00;50889;-282,308
2022-05-03 00:00:00;50889;648,428
