elem_id;set_dt;remark;mode;limit_press
18394;2022-06-22 12:29:00.000;На сработке.;2;NULL
18411;2022-06-22 12:30:00.000;шурфовка с понижением Р;2;NULL
18387;2022-06-22 12:32:00.000;шурфовка с понижением Р;2;NULL
11385;2022-06-22 12:34:00.000;шурфовка с понижением Р;2;NULL
18412;2022-06-22 12:35:00.000;шурфовка с понижением Р;2;NULL
11367;2022-06-22 13:13:00.000;На сработке;2;NULL
12075;2022-06-24 18:59:00.000;Заполнение участка 52-82, пуск в работу;0;64.80
12075;2022-06-24 19:02:00.000;заполнение после ремонта;2;64.80
12075;2022-06-24 20:18:00.000;изменение привязки после заполнения участка;2;64.80
1513;2022-06-26 17:48:00.000;в;0;64.40
11334;2022-06-26 17:48:00.000;в;0;NULL
11882;2022-06-26 17:48:00.000;в;0;64.40
11883;2022-06-26 17:48:00.000;в;0;64.40
11899;2022-06-26 17:48:00.000;в;0;NULL
9557;2022-06-27 15:49:00.000;По распоряжению ПДС;0;NULL
9657;2022-06-27 15:49:00.000;По распоряжению ПДС;0;NULL
9663;2022-06-27 15:50:00.000;По распоряжению ПДС;0;NULL
9557;2022-06-27 21:42:00.000;310;2;NULL
9657;2022-06-27 21:43:00.000;310;2;NULL
9557;2022-06-28 09:15:00.000;по распоряжению ПДС;0;NULL
9657;2022-06-28 09:17:00.000;распоряжение ПДС;0;NULL
9557;2022-06-28 15:32:00.000;распоряжение ПДС;2;NULL
9657;2022-06-28 15:33:00.000;распоряжение ПДС;2;NULL
9663;2022-06-28 18:08:00.000;Распоряжение ПДС;2;NULL
8423;2022-07-02 12:43:00.000;По режиму и для не превышения РРД;1;36.30
36098;2022-07-04 05:46:00.000;Понижение давления для работ УМГ Костанай;1;NULL
32105;2022-07-04 05:50:00.000;Понижение давления для работ УГМ Костанай;1;NULL
8484;2022-07-04 05:51:00.000;Понижение давления для работ УМГ Костанай;1;NULL
8487;2022-07-04 05:52:00.000;Понижение давления для работ УМГ Костанай;1;NULL
8488;2022-07-04 05:54:00.000;Понижение давления для работ УМГ Костанай;1;NULL
9557;2022-07-04 18:07:00.000;распоряжение ПДС;0;NULL
9657;2022-07-04 18:08:00.000;распоряжение ПДС;0;NULL
9663;2022-07-04 18:10:00.000;распоряжение ПДС;0;NULL
9557;2022-07-05 06:48:00.000;По распоряжению ПДС;2;NULL
9657;2022-07-05 06:48:00.000;По распоряжению ПДС;2;NULL
9663;2022-07-05 06:48:00.000;По распоряжению ПДС;2;NULL
12075;2022-07-05 13:56:00.000;Работы завершены;0;64.80
12185;2022-07-05 13:57:00.000;Работы завершены;0;69.30
12843;2022-07-07 10:00:00.000;Ограничение РРД снято. ФП №15-22 от 07.07.22;2;NULL
15006;2022-07-07 10:00:00.000;Ограничение РРД;0;65.50
8336;2022-07-07 20:59:00.000;Для выработки участка МГ;1;NULL
9557;2022-07-07 21:03:00.000;Распоряжение ПДС;0;NULL
9657;2022-07-07 21:04:00.000;Распоряжение ПДС;0;NULL
9557;2022-07-07 23:06:00.000;Распоряжение ПДС;2;NULL
